"REF_DATE","GEO","DGUID","Interprovincial migration","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","14788","","","","0"
"2002-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21558","","","","0"
"2002-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","22142","","","","0"
"2002-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","10617","","","","0"
"2003-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12584","","","","0"
"2003-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18893","","","","0"
"2003-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17999","","","","0"
"2003-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","9243","","","","0"
"2004-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12439","","","","0"
"2004-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17505","","","","0"
"2004-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16991","","","","0"
"2004-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","10584","","","","0"
"2005-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12285","","","","0"
"2005-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","19632","","","","0"
"2005-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18236","","","","0"
"2005-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","9108","","","","0"
"2006-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12125","","","","0"
"2006-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16279","","","","0"
"2006-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","19382","","","","0"
"2006-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","11460","","","","0"
"2007-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12144","","","","0"
"2007-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","15805","","","","0"
"2007-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","20760","","","","0"
