"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1993-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","26921","","","","0"
"1994-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","25326","","","","0"
"1994-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","32012","","","","0"
"1994-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","35127","","","","0"
"1994-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","25170","","","","0"
"1995-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","28605","","","","0"
"1995-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","30828","","","","0"
"1995-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","31023","","","","0"
"1995-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","25488","","","","0"
"1996-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","27378","","","","0"
"1996-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","32072","","","","0"
"1996-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","33189","","","","0"
"1996-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","27080","","","","0"
"1997-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","27945","","","","0"
"1997-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","31187","","","","0"
"1997-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","33992","","","","0"
"1997-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","24592","","","","0"
"1998-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","23017","","","","0"
"1998-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","24818","","","","0"
"1998-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","24834","","","","0"
"1998-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","19677","","","","0"
